,year,DM_g_year
0,1997,8.1944803e+15
1,1998,9.306521e+15
2,1999,7.1590834e+15
3,2000,7.238705e+15
4,2001,6.9776887e+15
5,2002,6.9373933e+15
6,2003,7.458566e+15
7,2004,7.632467e+15
8,2005,7.4996405e+15
9,2006,6.9804654e+15
10,2007,7.1766225e+15
11,2008,6.904683e+15
12,2009,6.74054e+15
13,2010,7.0102295e+15
14,2011,6.769488e+15
15,2012,7.65081e+15
16,2013,6.704595e+15
17,2014,6.8535813e+15
18,2015,7.674657e+15
19,2016,7.4857763e+15
20,2017,6.879867e+15
21,2018,6.175737e+15
22,2019,7.5243183e+15
23,2020,7.387265e+15
24,2021,7.091344e+15
25,2022,6.0609494e+15
