variable,count,mean,std,min,25%,50%,75%,max
Year,59.0,1988.0,17.175564037317667,1959.0,1973.5,1988.0,2002.5,2017.0
E_total,59.0,7.281585355903421,2.1306435776566883,4.1873027268452505,5.769080783766793,7.213901479087874,8.513412584552356,11.301888779424326
dE_total,58.0,0.12054498511506864,0.1741208875067103,-0.5335508302902117,0.012282030841863634,0.11637438414121526,0.2261294535899212,0.5815702870901287
fossil fuel and industry,59.0,5.953001995247914,2.123725724111347,2.453377862175623,4.601392246498783,5.917333330232874,7.145323271761217,9.867156562529605
land-use change emissions,59.0,1.3285833606555086,0.17814547930447766,1.0425105,1.2027343326746875,1.3222525,1.3877177330350001,1.8105875
ocean sink,59.0,1.7334394347142856,0.5094512073728511,0.7148424527142857,1.3282195130714287,1.7885960474285716,2.1292412145714286,2.636438245857143
land sink,59.0,2.1534901096607078,1.08437060059893,0.2165196278004969,1.3973030254227998,2.274392563691387,2.9214937664906184,4.2544394819186255
atmospheric growth,59.0,3.258691525423729,1.381218701912608,1.0388,2.2366,3.0952,4.2612000000000005,6.1904
budget imbalance,59.0,0.13596428610470027,0.7989817865500088,-1.5956046485344277,-0.5468955737017014,0.21476256562514173,0.649569315452506,1.8433976725159873
nino34_mean_z,59.0,-1.97582063704477e-17,1.0085838484282528,-1.804241441431419,-0.6375553227147398,0.0049674673031416105,0.6813072462693323,2.5313783499831
nino34_max_z,59.0,1.279579079228994e-16,1.0085838484282528,-1.8485293163641052,-0.8786678626376065,-0.07044998453219109,0.5992162573265817,2.0540084379163295
nino34_var_logz,59.0,9.502756397215323e-17,1.008583848428253,-1.0069078237242624,-0.799545851197275,-0.34267215122014866,0.41354985133746713,2.8898920638935697
scpdsi_global_mean_z,59.0,1.1666750428264358e-16,1.0085838484282528,-2.269439990021507,-0.7889198530558907,0.005947197382387523,0.7237803337753375,2.1907240896171767
scpdsi_global_max_z,59.0,3.95164127408954e-17,1.0085838484282528,-2.51036047829744,-0.7156570924431793,-0.05773736643621461,0.7668075123255772,2.22993248618855
scpdsi_global_var_logz,59.0,2.013455315845623e-16,1.0085838484282528,-1.080686191365377,-0.7825252800507607,-0.3769367245305814,0.5976506614283207,3.219994976433626
tau_global_mean_z,54.0,1.3158198810372225e-16,1.0093898773656798,-0.7528986410596015,-0.5842656503022339,-0.4293945629721382,0.07301150718160532,4.536071915565267
tau_global_max_z,54.0,-9.868649107779169e-17,1.0093898773656798,-0.7343222372827093,-0.5824903168318809,-0.45498981877016775,0.062360043188904035,3.6354932072328876
tau_global_var_logz,54.0,0.0,1.0093898773656798,-0.2754962023723112,-0.2747650437281513,-0.2713673439243453,-0.22876694825389576,6.47075502842638
DM_g_year_z,21.0,-3.5421401261850235e-16,1.02469507659596,-1.0087769808117288,-0.6680258676223034,-0.2347803981496958,0.3451904693164315,3.422319241532984
